Dune: Part Two,2024,"Film, Exclue, Drame, Science Fiction",U.S.A.,Denis Villeneuve,"Timothée Chalamet, Zendaya, Rebecca Ferguson, Josh Brolin",VOSTFR,HDLight,2 h 46 mn,https://wiflix.cloud/film-en-streaming/30480-dune-deuxieme-partie.html
Dune: Part Two,2024,"Film, Exclue, Drame, Science Fiction",U.S.A,Denis Villeneuve,"Timothée Chalamet, Zendaya, Rebecca Ferguson, Josh Brolin",TrueFrench,DVDSCR,2h 46min,https://wiflix.cloud/film-en-streaming/29992-dune-deuxieme-partie.html
Godzilla x Kong: The New Empire,2024,"Film, Exclue, Action, Fantastique, Science Fiction",U.S.A,Adam Wingard,"Rebecca Hall, Brian Tyree Henry, Dan Stevens",TrueFrench,CAM,1h 55min,https://wiflix.cloud/film-en-streaming/30400-godzilla-x-kong-le-nouvel-empire.html
Les Trois Mousquetaires: Milady,2024,"Film, Exclue, Aventure, Historique",France,Martin Bourboulon,"Alexandre De La Patellière, Matthieu Delaporte",French,HDLight,1h 55min,https://wiflix.cloud/film-en-streaming/30395-les-trois-mousquetaires-milady.html
Kung Fu Panda 4,2024,"Film, Exclue, Animation, arts-martiaux, Aventure, Comédie, Famille",U.S.A,"Mike Mitchell (V), Stephanie Stine","Manu Payet, Jack Black, Awkwafina",TrueFrench,CAM,1h 34 min,https://wiflix.cloud/film-en-streaming/30376-kung-fu-panda-4.html
Imaginary,2024,"Film, Exclue, Epouvante-horreur, Thriller",U.S.A.,Jeff Wadlow,"DeWanda Wise, Tom Payne (II), Taegen Burns",French,HDLight,1 h 45 mn,https://wiflix.cloud/film-en-streaming/30352-imaginary.html
Bob Marley: One Love,2024,"Film, Exclue, Biopic, Drame",U.S.A.,Reinaldo Marcus Green,"Kingsley Ben-Adir, Lashana Lynch, James Norton",French,HDLight,1 h 47 mn,https://wiflix.cloud/film-en-streaming/30284-bob-marley-one-love.html
The Beekeeper,2024,"Film, Exclue, Action",U.S.A.,David Ayer,"Jason Statham, Emmy Raver-Lampman, Josh Hutcherson",French,HDLight,1 h 45 mn,https://wiflix.cloud/film-en-streaming/29462-the-beekeeper.html
Madame Web,2024,"Film, Exclue, Action, Fantastique",U.S.A.,S.J. Clarkson,"Dakota Johnson, Sydney Sweeney, Isabela Merced",TrueFrench,HDLight,1 h 57 mn,https://wiflix.cloud/film-en-streaming/30238-madame-web.html
Argylle,2024,"Film, Exclue, Action, Espionnage, Thriller",U.S.A,Matthew Vaughn,"Bryce Dallas Howard, Sam Rockwell, Henry Cavill",TrueFrench,HDLight,2h 20min,https://wiflix.cloud/film-en-streaming/30074-argylle.html
Poor Things,2024,"Film, Exclue, Comédie, Drame, Fantastique, Romance, Science Fiction",U.S.A,Yorgos Lanthimos,"Emma Stone, Mark Ruffalo, Willem Dafoe",TrueFrench,HDLight,2h 21min,https://wiflix.cloud/film-en-streaming/29955-pauvres-creatures.html
Le Règne Animal,2023,"Film, Exclue, Aventure, Drame, Fantastique",France,Thomas Cailley,"Romain Duris, Paul Kircher, Adèle Exarchopoulos",French,HDLight,2 h 10 mn,https://wiflix.cloud/film-en-streaming/29489-le-regne-animal.html
Aquaman and the Lost Kingdom,2024,"Film, Exclue, Action, Aventure, Fantastique",U.S.A,James Wan,"Jason Momoa, Patrick Wilson, Amber Heard",TrueFrench,HDLight,2h 04min,https://wiflix.cloud/film-en-streaming/29305-aquaman-et-le-royaume-perdu.html
Wonka,2024,"Film, Exclue, Aventure, Fantastique, Famille",U.S.A.,Paul King,"Timothée Chalamet, Calah Lane, Keegan-Michael Key",TrueFrench,HDLight,1 h 57 mn,https://wiflix.cloud/film-en-streaming/29228-wonka.html
The Marvels,2024,"Film, Exclue, Action, Aventure, Fantastique, Science Fiction",U.S.A,Nia DaCosta,"Brie Larson, Iman Vellani, Teyonah Parris",TrueFrench,HDLight,1h 45min,https://wiflix.cloud/film-en-streaming/29130-the-marvels.html
The Hunger Games: The Ballad of Songbirds and Snakes,2023,"Film, Exclue, Action, Aventure, Science Fiction",U.S.A,Francis Lawrence,"Tom Blyth, Rachel Zegler, Peter Dinklage",TrueFrench,HDLight,2 h 38 mn,https://wiflix.cloud/film-en-streaming/28285-hunger-games-la-ballade-du-serpent-et-de-loiseau-chanteur.html
Napoleon,2023,"Film, Exclue, Aventure, Biopic, Guerre, Historique",U.S.A,Ridley Scott,"Joaquin Phoenix, Vanessa Kirby, Tahar Rahim",TrueFrench,HDLight,2h 38min,https://wiflix.cloud/film-en-streaming/28349-napoleon.html
The Exorcist: Believer,2023,"Film, Exclue, Epouvante-horreur",U.S.A,David Gordon Green,"Leslie Odom Jr., Ellen Burstyn, Ann Dowd",TrueFrench,HDLight,1 h 52 mn,https://wiflix.cloud/film-en-streaming/27850-lexorciste-devotion.html
Killers of the Flower Moon,2023,"Film, Exclue, Drame, Historique, Thriller",U.S.A,Martin Scorsese,"Leonardo DiCaprio, Lily Gladstone, Robert De Niro",TrueFrench,HDLight,3 h 26 mn,https://wiflix.cloud/film-en-streaming/28525-killers-of-the-flower-moon.html
Oppenheimer,2023,"Film, Exclue, Biopic, Historique, Thriller",U.S.A,Christopher Nolan,"Cillian Murphy, Emily Blunt, Matt Damon",TrueFrench,HDLight,3h 01min,https://wiflix.cloud/film-en-streaming/28169-oppenheimer.html
The Creator,2023,"Film, Exclue, Aventure, Drame, Science Fiction",U.S.A,Gareth Edwards (V),"John David Washington, Gemma Chan, Ken Watanabe",TrueFrench,HDLight,2h 13min,https://wiflix.cloud/film-en-streaming/28218-the-creator.html
A Haunting in Venice,2023,"Film, Exclue, Drame, Policier, Thriller",U.S.A,Kenneth Branagh,"Kenneth Branagh, Tina Fey, Camille Cottin",TrueFrench,HDLight,1h 44min,https://wiflix.cloud/film-en-streaming/27631-mystere-a-venise.html
Retribution,2023,"Film, Exclue, Action, Thriller",U.S.A.,Nimród Antal,"Liam Neeson, Noma Dumezweni, Lilly Aspell",TrueFrench,HDLight,1 h 31 mn,https://wiflix.cloud/film-en-streaming/27685-retribution.html
Mission: Impossible – Dead Reckoning Part One,2023,"Film, Exclue, Action, Aventure, Espionnage",U.S.A,"Tom Cruise, Hayley Atwell, Ving Rhames",Christopher McQuarrie,TrueFrench,HDLight,2h 43min,https://wiflix.cloud/film-en-streaming/27302-mission-impossible-dead-reckoning-partie-1.html
The Equalizer 3,2023,"Film, Exclue, Action, Thriller",U.S.A,Antoine Fuqua,"Denzel Washington, Dakota Fanning, David Denman",TrueFrench,HDLight,1h 50min,https://wiflix.cloud/film-en-streaming/27560-equalizer-3.html
The Nun II,2023,"Film, Exclue, Epouvante-horreur",U.S.A,Michael Chaves,"Taissa Farmiga, Jonas Bloquet, Storm Reid",TrueFrench,HDLight,1h 49min,https://wiflix.cloud/film-en-streaming/27633-la-nonne-la-malediction-de-sainte-lucie.html
After Everything,2023,"Film, Exclue, Drame, Romance",U.S.A.,Castille Landon,"Ella Martine, Hero Fiennes Tiffin, Josephine Langford",TrueFrench,HDLight,1 h 33 mn,https://wiflix.cloud/film-en-streaming/27755-after-chapitre-5.html
One Life,2024,"Film, Biopic, Drame",Grande-Bretagne,James Hawes,"Anthony Hopkins, Johnny Flynn, Helena Bonham Carter",French,HDLight,1 h 49 mn,https://wiflix.cloud/film-en-streaming/30367-une-vie.html
Noël Joyeux,2024,"Film, Comédie",France,Clément Michel,"Franck Dubosc, Emmanuelle Devos, Danièle Lebrun",French,HDLight,1h 26min,https://wiflix.cloud/film-en-streaming/30475-nol-joyeux.html
Bisons,2024,"Film, Drame","France, Suisse",Pierre Monnard,"India Hair, Adel Bencherif, Karim Barras",TrueFrench,HDLight,1h 45min,https://wiflix.cloud/film-en-streaming/30481-bisons.html
Woods Witch,2024,"Film, Thriller",U.S.A,"Lauren Francesca, Shawn C. Phillips","Shawn C. Phillips, Lauren Francesca",French,Bdrip LD,1h 33min,https://wiflix.cloud/film-en-streaming/30489-woods-witch.html
1992,"Film Ancien, Comédie",France,Yves Robert,"Jean Rochefort, Miou-Miou, Jean Carmet",TrueFrench,HDLight,1h39min,https://wiflix.cloud/film-ancien/776-le-bal-des-casse-pieds.html
The Island of Dr. Moreau,1997,"Film Ancien, Action, Epouvante-horreur, Fantastique",U.S.A.,"John Frankenheimer, Paul Rubell, Adam P. Scott","David Thewlis, Fairuza Balk, Ron Perlman",TrueFrench,HDLight,1h35min,https://wiflix.cloud/film-ancien/11067-lile-du-dr-moreau-the-island-of-dr-moreau.html
Summer '03,2019,"Film Ancien, Drame",U.S.A.,Becca Gleason,"Joey King, Jack Kilmer, June Squibb",TrueFrench,HDLight,1h40min,https://wiflix.cloud/film-ancien/13714-summer-love-summer-03.html
Super,2010,"Film Ancien, Action, Comédie",U.S.A.,James Gunn (II),"Rainn Wilson, Ellen Page, Liv Tyler",TrueFrench,HDLight,1h36min,https://wiflix.cloud/film-ancien/7916-super.html
Johnny English Strikes Again,2018,"Film Ancien, Comédie, Espionnage",Grande-Bretagne,David Kerr,"Rowan Atkinson, Emma Thompson, Olga Kurylenko",TrueFrench,HDLight,1h29min,https://wiflix.cloud/film-ancien/5440-johnny-english-contre-attaque-johnny-english-strikes-again.html
The Black Coat's Daughter,2016,"Film Ancien, Epouvante-horreur, Thriller",U.S.A.,Osgood Perkins (II),"Emma Roberts, Kiernan Shipka, Lucy Boynton",TrueFrench,HDLight,1h33min,https://wiflix.cloud/film-ancien/12964-february-the-black-coats-daughter.html
Johnny English,2003,"Film Ancien, Action, Aventure, Comédie","Grande-Bretagne, France, U.S.A.",Peter Howitt,"Takuya Matsumoto, Simon Bernstein, Peter Tenn",TrueFrench,HDLight,1h30min,https://wiflix.cloud/film-ancien/9832-johnny-english.html
Una Lucertola con la pelle di donna,1976,"Film Ancien, Erotique, Epouvante-horreur, Policier",Italie,Lucio Fulci,"Florinda Bolkan, Jean Sorel, Stanley Baker",TrueFrench,DVDRIP,1h 44min,https://wiflix.cloud/film-ancien/30479-le-venin-de-la-peur.html
Dead Poets Society,1990,"Film Ancien, Comédie Dramatique",U.S.A.,Peter Weir,"Robin Williams, Ethan Hawke, Robert Sean Leonard",TrueFrench,HDLight,2 h 08 mn,https://wiflix.cloud/film-ancien/925-le-cercle-des-poetes-disparus-dead-poets-society.html
Bloody Christmas,2012,"Film Ancien, Epouvante-horreur","U.S.A., Canada",Steven C. Miller,"Malcolm McDowell, Jaime King, Donal Logue",TrueFrench,HDLight,1h29min,https://wiflix.cloud/film-ancien/3813-silent-night.html
Kraven The Hunter,2024,"Prochainement, Action, Fantastique",U.S.A,J.C. Chandor,"Aaron Taylor-Johnson, Russell Crowe, Fred Hechinger",TrueFrench,HDLight,2h,https://wiflix.cloud/films-prochainement/29450-kraven-the-hunter.html
Les Inséparables,2024,Prochainement,"Belgique, France, Espagne",Jérémie Degruson,"Eric Judor, Jean-Pascal Zadi, Ana Girardot",TrueFrench,HDLight,1h 29min,https://wiflix.cloud/films-prochainement/28910-les-inseparables.html
Les SEGPA au ski,2023,"Prochainement, Comédie",France,"Ali Boughéraba, Hakim Boughéraba","Ichem Bougheraba, Nicolas Sartous, Emma Smet",French,HDLight,1h 40min,https://wiflix.cloud/films-prochainement/28834-les-segpa-au-ski.html
Kingdom of the Planet of the Apes,2023,"Prochainement, Action, Aventure, Science Fiction",U.S.A,Wes Ball,"Owen Teague, Freya Allan, Kevin Durand",TrueFrench,HDLight,2h,https://wiflix.cloud/films-prochainement/28506-la-planete-des-singes-le-nouveau-royaume.html
Deadpool 3,2023,"Prochainement, Action, Comédie, Science Fiction",U.S.A,Shawn Levy,"Ryan Reynolds, Hugh Jackman, Lewis Tan",TrueFrench,HDLight,2h,https://wiflix.cloud/films-prochainement/27654-deadpool-3.html
I Am Legend 2,2024,"Prochainement, Action, Drame, Science Fiction",U.S.A,Akiva Goldsman,"Will Smith, Michael B. Jordan",TrueFrench,HDLight,2h,https://wiflix.cloud/films-prochainement/26780-i-am-legend-2.html
Spider-Man: No Way Home,2021,"Film, Action, Aventure, Fantastique",U.S.A,"Chris McKenna, Steve Ditko","Tom Holland, Zendaya, Benedict Cumberbatch",TrueFrench,HDLight,2h02min,https://wiflix.cloud/film-en-streaming/21981-ssspider.html
Venom: Let There Be Carnage,2021,"Film, Exclue, Action, Fantastique",U.S.A.,Andy Serkis,"Tom Hardy, Michelle Williams, Woody Harrelson",TrueFrench,HDLight,1 h 40 mn,https://wiflix.cloud/film-en-streaming/18801-venom-let-there-be-carnage.html
Zack Snyder's Justice League,2021,"Film, Exclue, Action, Aventure, Fantastique",U.S.A.,Zack Snyder,"Ben Affleck, Henry Cavill, Gal Gadot",TrueFrench,HDLight,4h 02min,https://wiflix.cloud/film-en-streaming/20918-zack-snyders-justice-league.html
The Matrix Resurrections,2021,"Film, Exclue, Action, Science Fiction",U.S.A.,"Lana Wachowski, David Mitchell","Keanu Reeves, Carrie-Anne Moss, Yahya Abdul-Mateen II",TrueFrench,HDLight,2 h 30 mn,https://wiflix.cloud/film-en-streaming/19061-matri4.html
The Suicide Squad,2021,"Film, Exclue, Action, Aventure, Fantastique",U.S.A,"James Gunn, John Ostrander","Margot Robbie, Viola Davis, Joel Kinnaman",TrueFrench,HDLight,2h 12min,https://wiflix.cloud/film-en-streaming/21766-the-suicide-squad.html
Shang-Chi and the Legend of the Ten Rings,2021,"Film, Action, Fantastique",U.S.A.,Destin Daniel Cretton,"Simu Liu, Tony Leung Chiu-Wai, Awkwafina, Fala Chen",TrueFrench,HDLight,2 h 12 mn,https://wiflix.cloud/film-en-streaming/22016-shang-chi-et-la-legende-des-dix-anneaux.html
After We Collided,2020,"Film Ancien, Drame, Romance",U.S.A.,Roger Kumble,"Josephine Langford, Hero Fiennes Tiffin, Dylan Sprouse",TrueFrench,HDLight,1 h 46 mn,https://wiflix.cloud/film-ancien/19358-after-chapitre-2gg.html
